報告書_id,文_id,動詞_id,動詞,主体,起点,対象,状況,着点,手段,関係,事象,レコード_id
109000277,1,6,検出する, , ,鉄錆, , ,フィルタ表面の異物観察, ,砂 フィルタ表面の異物観察 検出する,38
109000277,1,6,検出する, , ,砂, , ,フィルタ表面の異物観察, ,砂 フェログラフィー 検出する,38
109000277,1,10,増加する, , ,濃度, , , , ,鉄錆 検出する,38
109000277,1,16,混入する,増加した要因,外部, , , ,粒子の増加, ,外部 鉄錆 混入する,38
109000277,2,3,ある, , , , ,異物の混入, , ,フィルタ表面の異物観察 潤滑状態 ある,38
109000277,2,13,ある, , , , ,良好の範囲, ,Is値がのマイナス乗,フィルタ表面の異物観察 良好の範囲 Is値がの乗 ある,38
109000277,2,18,ある, , , , ,潤滑状態, , ,潤滑状態 ある,38
109000277,2,18,ある, , , , ,正常な状態, , ,正常な状態 ある,38
109000328,1,6,均衡する, , ,油槽内などでの沈降, , , , ,油槽内 清掃する,43
109000328,1,11,なる, , , , , , ,油中の濃度,濃度 考える,43
109000328,1,11,なる, , , , , , ,平衡状態,値 なる,43
109000328,1,14,崩れる, , ,バランス, , , , ,油中の濃度 なる,43
109000328,2,5,崩れる, , ,発生, , , , ,油中の濃度 なる,43
109000328,2,5,崩れる, , ,減少の均衡, , , , ,バランス 油中の濃度 崩れる,43
109000328,2,14,低下する, , , , , , ,これ,低下 発生する,43
109000328,2,17,低下する, , ,発生量, , , , ,低下 発生する,43
109000328,2,20,大きい, , ,減少量, , , , ,油槽内などでの沈降 均衡する,43
109000328,2,27,良好, , ,汚染状態, , , , ,汚染状態 良好,43
109000328,2,27,良好, , ,潤滑状態, , , , ,潤滑状態 良好,43
109000328,4,8,発生する, , , ,摩耗粒子の形態観察, ,鉄系摩耗粒子, ,摩耗粒子の形態観察 考える,44
109000328,4,8,発生する, , , ,摩耗粒子の形態観察, ,フレッティング, ,摩耗粒子の形態観察 考える,44
109000328,4,11,検出する, , ,赤錆, , , , ,赤錆 発生する,44
109000328,4,15,増加する, , ,D-SOAPの濃度, , , , ,濃度 鉄錆 増加する,44
109000328,4,19,考える, , ,これ, , , , ,摩耗粒子 発生する,44
109000328,5,3,検出する,増加, , , ,計数汚染度の粒子数, , ,さ 検出する,44
109000328,5,6,増加する, , ,D-SOAPの濃度, , , , ,濃度 鉄錆 増加する,44
109000328,5,11,検出する, , ,μm以下のサブミクロンオーダーの摩耗粒子, , , , ,μm以下の疲労摩耗粒子 検出する,44
109000328,6,3,進行する, , ,摩耗, , , , ,赤錆 検出する,44
109000328,6,5,増加する, , ,汚染度, , , , ,赤錆 検出する,44
109000328,6,12,発生する,ストレーナの目詰まり等, , , , , , ,ストレーナの目詰まり 発生する,44
109000328,7,11,増加する, , ,D-SOAPの濃度, , , , ,濃度 鉄錆 増加する,44
109000328,7,18,高い, , , , , , ,増加し,赤錆 検出する,44
109000328,7,18,高い, , , , , , ,いたこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 高い,44
109000328,7,25,発生する, , , , , ,鉄系摩耗粒子, ,鉄系摩耗粒子 検出する,44
109000328,7,25,発生する, , , , , ,フレッティング, ,フレッティング 検出する,44
109000328,7,29,検出する, , ,赤錆, , , , ,赤錆 発生する,44
109000328,8,5,ある, , , , ,良好の範囲, , ,良好な範囲 ある,45
109000332,1,6,均衡する, , ,油槽内などでの沈降, , , , ,油槽内 清掃する,52
109000332,1,11,なる, , , , , , ,油中の濃度,濃度 考える,52
109000332,1,11,なる, , , , , , ,平衡状態,値 なる,52
109000332,1,14,崩れる, , ,バランス, , , , ,油中の濃度 なる,52
109000332,2,5,崩れる, , ,発生, , , , ,油中の濃度 なる,52
109000332,2,5,崩れる, , ,減少の均衡, , , , ,バランス 油中の濃度 崩れる,52
109000332,2,14,低下する, , , , , , ,これ,低下 発生する,52
109000332,2,17,低下する, , ,発生量, , , , ,低下 発生する,52
109000332,2,20,大きい, , ,減少量, , , , ,油槽内などでの沈降 均衡する,52
109000332,2,27,良好, , ,汚染状態, , , , ,汚染状態 良好,52
109000332,2,27,良好, , ,潤滑状態, , , , ,潤滑状態 良好,52
109000332,3,3,低下する, , ,油中の粒子, , , , ,発生 低下する,53
109000332,3,7,設置する, , , , ,フィルタ類, , ,フィルタ類 設置する,53
109000332,3,10,考える,減少, , , , , , ,摩耗 考える,53
109000332,3,17,発生する, , ,摩耗粒子, , , , ,摩耗粒子 考える,53
109000332,3,19,考える, , , , , ,設備,発生しなかったため,設備 考える,53
109000332,4,9,ある, , , , ,安定した状態, , ,安定した状態 ある,53
