報告書_id,文_id,動詞_id,動詞,主体,起点,対象,状況,着点,手段,関係,事象,レコード_id
109000598,0,7,厳しい, , ,金属接触, , , , ,金属接触 なる,139
109000598,0,9,発生する, , , ,摩耗粒子の形態観察, , , ,摩耗粒子の形態観察 検出する,139
109000598,0,12,高い, , ,摩擦熱, , , , ,摩擦熱 異物 高い,139
109000598,0,17,混入する, ,外部, , , , , ,摩擦熱 高い,139
109000598,0,23,検出する, , ,鉄錆, , , , ,鉄錆 多い,139
109000598,0,23,検出する, , ,砂, , , , ,砂 検出する,139
109000598,1,3,接触する,摩耗軸受摺動部, , , , , , ,摩耗軸受摺動部 接触する,140
109000598,1,3,接触する,鉄系材料同士, , , , , , ,鉄系材料同士 接触する,140
109000598,1,13,発生する, , ,厳しい金属接触,ラビリンス, , , ,ラビリンス 発生する,140
109000598,1,13,発生する, , ,厳しい金属接触,軸受支持部, , , ,軸受支持部 発生する,140
109000598,1,13,発生する, , ,厳しい金属接触,油用ポンプ内部, , , ,厳しい金属接触 油用ポンプ内部 発生する,140
109000598,2,3,進行する, , ,摩耗, , , , ,金属接触 砂 厳しい,140
109000598,3,11,発生する, , ,摩耗粒子, , , , ,摩耗粒子 考える,140
109000598,4,11,考える,摩耗, , , , , , ,値 考える,140
109000598,5,15,増加する, , , , ,球状粒子, , ,球状粒子 検出する,141
109000598,6,6,検出する, , ,鉄錆, , ,フィルタ表面の異物観察, ,砂 フィルタ表面の異物観察 検出する,142
109000598,6,6,検出する, , ,砂, , ,フィルタ表面の異物観察, ,フィルタ表面の異物観察 検出する,142
109000598,6,9,増加する, , ,汚染度, , , , ,鉄錆 検出する,142
109000598,6,15,混入する,増加した要因,外部, , , , ,粒子の発生,増加した要因 外部 鉄錆 粒子の増加 混入する,142
109000679,0,9,発生する, , , ,摩耗粒子の形態観察, ,フレッティング, ,フレッティング 発生する,308
109000679,0,13,検出する, , ,発生したμm未満の赤錆, , , , ,発生した赤錆 検出する,308
109000679,1,5,増加する, , ,鉄, , , , ,発生したμm未満の赤錆 検出する,308
109000679,2,5,接合する,スラストランナー固定部, ,スラストメタル台金部の鉄系材料, , , , ,スラストランナー固定部 スラストメタル台金部の鉄系材料 発生したμm以下の赤錆 接合する,308
109000679,2,8,発生する,フレッティングの発生要因, , , , , , ,フレッティングの発生要因 発生する,308
109000679,3,3,発生する, , ,赤錆, , , , ,赤錆 検出する,309
109000679,3,11,噛む, , ,発生した赤錆, , , ,軸受摺動面,発生した赤錆 検出する,309
109000679,3,13,進行する, , ,摩耗, , , , ,赤錆 発生する,309
109000679,4,7,噛む, , ,赤錆, , , ,軸受摺動面,赤錆 発生する,309
109001416,0,9,発生する, , , ,摩耗粒子の形態観察, ,フレッティング, ,フレッティング 発生する,544
109001416,0,13,検出する, , ,発生したμm以下の赤錆, , , , ,発生した赤錆 検出する,544
109001416,1,16,増加する, , ,メタルの主成分である錫, , , , ,メタルの主成分である錫 発生したμm未満の赤錆 増加する,544
109001416,1,16,増加する, , ,軸受メタルの主成分である錫, , , , ,メタルの主成分である錫 発生したμm以下の赤錆 増加する,544
109001416,2,5,進行する, , ,軸受メタルの摩耗, , ,）軸受の摩耗軸受摺動面, ,軸受メタルの摩耗 発生したμm以下の赤錆 ）軸受の摩耗軸受摺動面 進行する,544
109001416,3,3,進行する, , ,摩耗, , , , ,摩耗 赤錆 進行する,544
109001416,4,5,接合する,スラストランナー固定部, ,スラストメタル台金部の鉄系材料, , , , ,スラストランナー固定部 スラストメタル台金部の鉄系材料 発生したμm以下の赤錆 接合する,544
109001416,5,3,発生する, , ,赤錆, , , , ,赤錆 検出する,544
109001416,5,10,噛む, , ,発生した赤錆, , , ,軸受摺動面,発生した赤錆 検出する,544
109001416,5,12,進行する, , ,摩耗, , , , ,赤錆 発生する,544
109001416,6,7,噛む, , ,赤錆, , , ,軸受摺動面,赤錆 発生する,544
109001686,1,6,検出する, , ,鉄錆, , ,フィルタ表面の異物観察, ,砂 フィルタ表面の異物観察 検出する,568
109001686,1,6,検出する, , ,砂, , ,フィルタ表面の異物観察, ,フィルタ表面の異物観察 検出する,568
109001686,1,10,増加する, , ,濃度, , , , ,鉄錆 検出する,568
109001686,1,16,混入する,増加した要因,外部, , , ,粒子の増加, ,増加した要因 鉄錆 粒子の増加 混入する,568
109001686,2,3,ある, , , , ,異物の混入, , ,フィルタ表面の異物観察 潤滑状態 ある,568
109001686,2,13,ある, , , , ,良好の範囲, ,Is値がの乗,フィルタ表面の異物観察 良好の範囲 Is値がの乗 ある,568
109001686,2,18,ある, , , , ,潤滑状態, , ,フィルタ表面の異物観察 検出する,568
109001686,2,18,ある, , , , ,正常な状態, , ,フィルタ表面の異物観察 正常な状態 ある,568
109001746,0,7,満たす, , ,全ての分析項目の値, , , , ,全ての分析項目の値 満たす,577
109001746,0,20,良好, , , , ,潤滑状態, , ,潤滑状態 良好,577
109001746,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,578
109001746,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,578
109001746,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,579
109001746,4,12,現れる, , , , ,劣化の兆候, , ,劣化の兆候 現れる,580
109001746,8,1,係る, , , , ,汚染, , ,摩耗 係る,581
109001746,13,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,582
109001746,13,13,良好, , , , ,潤滑箇所の潤滑状態, , ,潤滑箇所の潤滑状態 良好,582
109001746,14,5,検出する, , ,金属元素, , , , ,金属元素 検出する,583
109001746,14,8,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,583
109001746,14,15,良好, , , , ,外部からの異物などの混入, , ,混入した異物 潤滑状態 良好,583
109001746,15,5,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,583
109001746,15,7,検出する, , , , , ,金属接触, ,金属接触 厳しい,583
109001746,15,10,混入する, ,外部,銅, , , , ,外部 銅 混入する,583
109001746,15,14,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,583
109001758,0,7,満たす, , ,全ての分析項目の値, , , , ,全ての分析項目の値 満たす,596
109001758,0,20,良好, , , , ,潤滑状態, , ,潤滑状態 良好,596
109001758,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,597
109001758,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,597
109001758,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,598
109001758,4,12,現れる, , , , ,劣化の兆候, , ,劣化の兆候 現れる,599
109001758,8,1,係る, , , , ,汚染, , ,摩耗 係る,600
109001758,13,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,601
109001758,13,13,良好, , , , ,潤滑箇所の潤滑状態, , ,潤滑箇所の潤滑状態 良好,601
109001758,14,5,検出する, , ,金属元素, , , , ,金属元素 検出する,602
109001758,14,8,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,602
109001758,14,15,良好, , , , ,外部からの異物などの混入, , ,混入した異物 潤滑状態 良好,602
109001758,15,5,混入する, ,外部, , , , , ,金属元素 検出する,602
109001758,15,10,検出する, , ,カルシウム, , , , ,カルシウム 発生する,602
109001758,15,10,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,602
109001759,0,5,現れる, , , , ,劣化の兆候, , ,劣化の兆候 現れる,603
109001759,0,8,混入する, ,スラッジ, , , , ,IRのスペクトルパターン,スラッジ IRのスペクトルパターン 混入する,603
109001759,0,8,混入する, ,外部, , , , ,IRのスペクトルパターン,スラッジ IRのスペクトルパターン 混入する,603
109001759,0,15,異なる, , , , , , ,今回の油,油 異なる,603
109001759,0,19,混入する,異種油,IRのスペクトルパターン, , , , , ,スラッジ IRのスペクトルパターン 混入する,603
109001759,1,4,する, , , , ,異種油の特定, , ,IRのスペクトルパターン 異種油の特定 する,603
109001759,1,10,なる, , ,異種油等の混入, , , , ,異種油等の混入 汚染度 なる,603
109001759,2,4,発生する, , , , , ,化学的反応, ,化学的反応 発生する,604
109001759,4,3,異なる, , , , , , ,油,油 異なる,605
109001759,4,23,有効, , , ,上, , , ,上 有効,605
109001759,4,25,なる, , , , , , ,有効なデータ資料,有効なデータ資料 なる,605
109001759,5,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,606
109001759,6,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,606
109001759,7,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,607
109001759,8,12,現れる, , , , ,劣化の兆候, , ,劣化の兆候 現れる,608
109001759,10,2,発生する, , , , , ,有機物・有機化合物劣化の兆候, ,有機物・有機化合物劣化の兆候 発生する,609
109001759,11,5,異なる, , , , , , ,油,油 異なる,610
109001759,13,1,係る, , , , ,汚染, , ,摩耗 係る,611
109001759,18,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,612
109001759,18,13,良好, , , , ,潤滑箇所の潤滑状態, , ,潤滑箇所の潤滑状態 良好,612
109001759,19,5,検出する, , ,金属元素, , , , ,金属元素 検出する,613
109001759,19,8,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,613
109001759,19,15,良好, , , , ,外部からの異物などの混入, , ,混入した異物 潤滑状態 良好,613
109001759,20,5,混入する, ,外部, , , , , ,金属元素 検出する,613
109001759,20,10,検出する, , ,カルシウム, , , , ,カルシウム 発生する,613
109001759,20,10,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,613
109001760,0,7,満たす, , ,全ての分析項目の値, , , , ,全ての分析項目の値 満たす,614
109001760,0,20,良好, , , , ,潤滑状態, , ,潤滑状態 良好,614
109001760,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,615
109001760,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,615
109001760,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,616
109001760,4,12,現れる, , , , ,劣化の兆候, , ,劣化の兆候 現れる,617
109001760,8,1,係る, , , , ,汚染, , ,摩耗 係る,618
109001760,13,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,619
109001760,13,13,良好, , , , ,潤滑箇所の潤滑状態, , ,潤滑箇所の潤滑状態 良好,619
109001760,14,5,検出する, , ,金属元素, , , , ,金属元素 検出する,620
109001760,14,8,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,620
109001760,14,15,良好, , , , ,外部からの異物などの混入, , ,混入した異物 潤滑状態 良好,620
109001760,15,5,混入する, ,外部, , , , , ,金属元素 検出する,620
109001760,15,10,検出する, , ,カルシウム, , , , ,カルシウム 発生する,620
109001760,15,10,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,620
109001761,0,7,満たす, , ,全ての分析項目の値, , , , ,全ての分析項目の値 満たす,621
109001761,0,20,良好, , , , ,潤滑状態, , ,潤滑状態 良好,621
109001761,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,622
109001761,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,622
109001761,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,623
109001761,4,12,現れる, , , , ,劣化の兆候, , ,劣化の兆候 現れる,624
109001761,8,1,係る, , , , ,汚染, , ,摩耗 係る,625
109001761,13,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,626
109001761,13,13,良好, , , , ,潤滑箇所の潤滑状態, , ,潤滑箇所の潤滑状態 良好,626
109001761,14,5,検出する, , ,金属元素, , , , ,金属元素 検出する,627
109001761,14,8,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,627
109001761,14,15,良好, , , , ,外部からの異物などの混入, , ,混入した異物 潤滑状態 良好,627
109001761,15,5,混入する, ,外部, , , , , ,金属元素 検出する,627
109001761,15,10,検出する, , ,カルシウム, , , , ,カルシウム 発生する,627
109001761,15,10,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,627
109001793,0,7,満たす, , ,全ての分析項目の値, , , , ,全ての分析項目の値 満たす,698
109001793,0,20,良好, , , , ,潤滑状態, , ,潤滑状態 良好,698
109001793,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,699
109001793,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,699
109001793,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,700
109001793,8,1,係る, , , , ,汚染, , ,摩耗 係る,701
109001793,13,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,702
109001793,13,13,良好, , , , ,潤滑箇所の潤滑状態, , ,潤滑箇所の潤滑状態 良好,702
109001793,14,5,混入する, ,外部, , , , , ,外部 潤滑箇所の潤滑状態 混入する,702
109001793,14,10,検出する, , ,ケイ素, , , , ,ケイ素 増加する,702
109001793,15,5,混入する, ,外部, , , , , ,ケイ素 検出する,702
109001793,15,12,検出する, , ,亜鉛, , , , ,亜鉛 析出する,702
