Rule,Support,Confidence,Lift
基油の劣化 酸化防止剤 進行する =>RBOT値 現在値の半値 なる,0.0010972933430870519,0.9999999999999999,911.3333333333333
なりにくい状況 考える =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
停止回数 流体潤滑 多い =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
多い粘度低下 潤滑油中 起きる =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
軸受 流体潤滑 なる =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
鉛 発生する =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
銅であり 鉄 発生する =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
メタル 摩耗する 振動 なる =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
メタル 摩耗する 水分 多い =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
メタル 摩耗する 油膜 保持する =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
メタル 摩耗する 流体潤滑 出来る =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
メタル 摩耗する 異物 噛む =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
メタル 摩耗する 鉛 検出する =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
振動 なる 水分 多い =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
振動 なる 油膜 保持する =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
振動 なる 油膜 形成する =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
振動 なる 流体潤滑 メタルの潤滑部 なる =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
振動 なる 異物 噛む =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
摩耗 考える 水分 多い =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
水分 多い 油膜 保持する =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
水分 多い 油膜 形成する =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
水分 多い 油膜 薄い =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
水分 多い 流体潤滑 メタルの潤滑部 なる =>~％加えたケルメット 考える,0.0010972933430870519,0.9999999999999999,911.3333333333333
